@relation "myrelation"
@attribute feat string
@attribute lemma string
@attribute link string
@attribute sms string
@attribute classatr {positive,negative,neutral}
@data
'S', '@AK_ISAEV', 'огранич', '@AK_Isaev', neutral
'PR', 'ЗА', 'атриб', 'За', neutral
'S ЕД СРЕД ВИН НЕОД', 'ЧТО', 'предл', 'что', neutral
'S МН ДАТ ОД', 'ОНИ', '2-компл', 'им', neutral
'S МН МУЖ ВИН НЕОД', 'ОРДЕН', '1-компл', 'ордена', neutral
'V НЕСОВ ИНФ', 'ДАВАТЬ', 'fictit', 'давать', neutral
'S ЕД ЖЕН ИМ НЕОД', 'МЭРИЯ', 'предик', 'Мэрия', neutral
'CONJ', 'И', 'сочин', 'и', neutral
'S ЕД ЖЕН ИМ НЕОД', 'ПОЛИЦИЯ', 'предик', 'полиция', neutral
'V СОВ ИЗЪЯВ ПРОШ МН', 'НАСЧИТЫВАТЬ', 'соч-союзн', 'насчитали', neutral
'NUM', '8', 'количест', '8', neutral
'S МН ЖЕН РОД НЕОД', 'ТЫСЯЧА', '1-компл', 'тысяч', neutral
'S МН МУЖ РОД ОД', 'УЧАСТНИК', 'квазиагент', 'участников', neutral
'S ЕД ЖЕН РОД НЕОД', 'АКЦИЯ', '1-компл', 'акции', neutral
'PR', 'НА', 'атриб', 'на', neutral
'A ЕД ЖЕН ПР', 'БОЛОТНЫЙ', 'предл', 'Болотной', neutral
'A ЕД ЖЕН ИМ', 'МИСТИЧЕСКИЙ', 'опред', 'мистическая', neutral
'S ЕД ЖЕН ИМ НЕОД', 'ЦИФРА', 'предик', 'цифра', neutral
'PR', 'В', 'обст', 'В', neutral
'S ЕД ЖЕН ПР НЕОД', 'ОДЕССА', 'предл', 'Одессе', neutral
'S МН СРЕД ИМ НЕОД', 'ФОТО', 'предик', 'фото', neutral
'S ЕД МУЖ РОД ОД', 'ВЛАДИМИР', 'квазиагент', 'Владимира', neutral
'S ЕД МУЖ РОД ОД', 'ПУТИН', 'аппоз', 'Путина', neutral
'V НЕСОВ ИЗЪЯВ ПРОШ МН', 'ИСПОЛЬЗОВАТЬ', '', 'использовали', neutral
'PR', 'В', '2-компл', 'в', neutral
'S ЕД ЖЕН ПР НЕОД', 'РЕКЛАМА', 'предл', 'рекламе', neutral
'S ЕД ЖЕН РОД НЕОД', 'ШАУРМА', '1-компл', 'шаурмы', neutral
'S ЕД СРЕД РОД НЕОД', 'ФОТО', 'примыкат', 'ФОТО', neutral
'A КР ЕД СРЕД', 'ПРАВИЛЬНЫЙ', 'предик', 'правильно', neutral
'CONJ', 'А', 'сент-соч', 'а', neutral
'ADV', 'КУДА', 'обст', 'куда', neutral
'PART', 'ЕЩЕ', 'огранич', 'еще', neutral
'S ЕД МУЖ ИМ НЕОД', 'МИТИНГ', 'предик', 'Митинг', neutral
'PR', 'НА', 'атриб', 'на', neutral
'A ЕД ЖЕН ДАТ', 'БОЛОТНЫЙ', '2-компл', 'Болотной', neutral
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'ДОКАЗЫВАТЬ', 'соч-союзн', 'доказал', neutral
'S ЕД ЖЕН ВИН НЕОД', 'НЕСОСТОЯТЕЛЬНОСТЬ', '1-компл', 'несостоятельность', neutral
'S ЕД ЖЕН РОД НЕОД', 'ОППОЗИЦИЯ', 'квазиагент', 'оппозиции', neutral
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'СЧИТАТЬ', 'вводн', 'считает', neutral
'S ЕД МУЖ ИМ ОД', 'ЭКСПЕРТ', 'предик', 'эксперт', neutral
'S', 'И', 'аппоз', 'И', neutral
'PART', 'НЕ', 'огранич', 'не', neutral
'PART', 'ТОЛЬКО', 'огранич', 'только', neutral
'S ЕД МУЖ ИМ ОД', 'ЭКСПЕРТ', 'предик', 'эксперт', neutral
'ADV', 'ТАК', 'обст', 'так', neutral
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'СЧИТАТЬ', 'сочин', 'считает', neutral
'S', 'А', '1-компл', 'А', neutral
'PR', 'ПО', '1-компл', 'по', neutral
'A ЕД СРЕД ДАТ', 'МОЙ', 'опред', 'моему', neutral
'A ЕД СРЕД ДАТ', 'ЭКСПЕРТНЫЙ', 'опред', 'экспертному', neutral
'S ЕД СРЕД ДАТ НЕОД', 'МНЕНИЕ', 'предл', 'мнению', neutral
'S ЕД МУЖ ИМ НЕОД', 'МИТИНГ', 'предик', 'митинг', neutral
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'ДОКАЗЫВАТЬ', 'сент-соч', 'доказал', neutral
'S ЕД ЖЕН ВИН НЕОД', 'НЕСОСТОЯТЕЛЬНОСТЬ', '1-компл', 'несостоятельность', neutral
'NID', 'ЭКСПЕРТА', 'квазиагент', 'эксперта', neutral
'S', 'МАТВЕЙЧЕВАКОГДА', 'предик', 'МатвейчеваКОГДА', neutral
'V СОВ ИЗЪЯВ НЕПРОШ МН 3-Л', 'ДОСТРАИВАТЬ', 'сент-соч', 'ДОСТРОЯТ', neutral
'A ЕД ЖЕН ВИН', 'СЕЛИГЕРСКИЙ', '1-компл', 'СЕЛИГЕРСКУЮ', neutral
'S ЕД МУЖ ИМ НЕОД', 'ДИАЛОГ', 'fictit', 'Диалог', neutral
'A МН РОД', 'САМ', 'квазиагент', 'самих', neutral
'PR', 'С', '1-компл', 'с', neutral
'S ЕД МУЖ ТВОР ОД', 'СЕБЯ', 'предл', 'собой', neutral
'A ЕД МУЖ ИМ', 'ПЕРВЫЙ', 'опред', 'первый', neutral
'S ЕД МУЖ ИМ НЕОД', 'ПРИЗНАК', 'аппоз', 'признак', neutral
'S ЕД ЖЕН РОД НЕОД', 'ШИЗОФРЕНИЯ', '1-компл', 'шизофрении', neutral
'S', '@107_0', 'аппоз', '@107_0', neutral
'NID', 'ОНФ', 'аппоз', 'ОНФ', neutral
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'СТАНОВИТЬСЯ', 'разъяснит', 'стал', neutral
'S ЕД ЖЕН ТВОР НЕОД', 'ПЛОЩАДКА', 'присвяз', 'площадкой', neutral
'PR', 'ДЛЯ', 'атриб', 'для', neutral
'S ЕД МУЖ РОД НЕОД', 'ДИАЛОГ', 'предл', 'диалога', neutral
'S ЕД ЖЕН РОД НЕОД', 'ВЛАСТЬ', 'квазиагент', 'власти', neutral
'CONJ', 'И', 'сочин', 'и', neutral
'S ЕД СРЕД РОД НЕОД', 'ОБЩЕСТВО', 'соч-союзн', 'общества', neutral
'S', 'В', 'аппоз', 'В', neutral
'S ЕД ЖЕН ДАТ НЕОД', 'МОСКВА', 'неакт-компл', 'москве', neutral
'V СОВ ИЗЪЯВ ПРОШ МН', 'ИЗМЕНЯТЬ', '', 'изменили', neutral
'S МН МУЖ ВИН НЕОД', 'ПЛАН', '1-компл', 'планы', neutral
'PR', 'ПО', '1-компл', 'по', neutral
'S ЕД СРЕД ДАТ НЕОД', 'СТРОИТЕЛЬСТВО', 'предл', 'строительству', neutral
'S ЕД СРЕД РОД НЕОД', 'МЕТРО', '1-компл', 'метро', neutral
'PR', 'В', 'обст', 'В', neutral
'S ЕД ЖЕН ПР НЕОД', 'МОСКВА', 'предл', 'Москве', neutral
'V НЕСОВ ИЗЪЯВ ПРОШ ЕД ЖЕН', 'СТАРТОВАТЬ', 'fictit', 'стартовала', neutral
'S ЕД ЖЕН ИМ НЕОД', 'АКЦИЯ', 'предик', 'акция', neutral
'A ЕД ЖЕН ИМ', 'ГЕОРГИЕВСКИЙ', 'опред', 'Георгиевская', neutral
'S ЕД ЖЕН ИМ НЕОД', 'ЛЕНТА', 'аппоз', 'лента', neutral
'PR', 'В', 'атриб', 'В', neutral
'S ЕД МУЖ ПР НЕОД', 'ТАТАРСТАН', 'предл', 'Татарстане', neutral
'PR', 'У', '2-компл', 'у', neutral
'S ЕД МУЖ РОД ОД', 'МЕДВЕДЬ', 'предл', 'медведя', neutral
'V СОВ ИЗЪЯВ ПРОШ МН', 'КРАСТЬ', 'fictit', 'украли', neutral
'A ЕД МУЖ ВИН НЕОД', 'ЦИРКОВОЙ', 'опред', 'цирковой', neutral
'S ЕД МУЖ ВИН НЕОД', 'ВЕЛОСИПЕД', '1-компл', 'велосипед', neutral
'A МН ИМ', 'КУБАНСКИЙ', 'опред', 'Кубанские', neutral
'S МН МУЖ ИМ ОД', 'КОММУНИСТ', 'предик', 'коммунисты', neutral
'V НЕСОВ ИЗЪЯВ НЕПРОШ МН 3-Л', 'ХОТЕТЬ', 'fictit', 'хотят', neutral
'V СОВ ИНФ', 'ЗАСТАВЛЯТЬ', '1-компл', 'заставить', neutral
'S ЕД МУЖ ВИН ОД', 'ЭЛТОН', '1-компл', 'Элтона', neutral
'S ЕД МУЖ ВИН ОД', 'ДЖОН', '1-компл', 'Джона', neutral
'V НЕСОВ ИНФ', 'ПЕТЬ', '2-компл', 'петь', neutral
'PR', 'В', 'обст', 'в', neutral
'S ЕД МУЖ ПР НЕОД', 'ОБРАЗ', 'предл', 'образе', neutral
'S ЕД МУЖ РОД ОД', 'КАЗАК', 'квазиагент', 'казака', neutral
'S ЕД МУЖ ИМ ОД', 'БЛОГГЕР', 'предик', 'Блогер', neutral
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'НАЗЫВАТЬ', '', 'назвал', neutral
'S ЕД МУЖ ВИН НЕОД', 'МИТИНГ', '1-компл', 'митинг', neutral
'PR', 'НА', 'атриб', 'на', neutral
'A ЕД ЖЕН ТВОР', 'БОЛОТНЫЙ', 'опред', 'Болотной', neutral
'A ЕД ЖЕН ТВОР', 'ОРГАНИЗАЦИОННЫЙ', 'опред', 'организационной', neutral
'S ЕД ЖЕН ТВОР НЕОД', 'ИМПОТЕНЦИЯ', '2-компл', 'импотенцией', neutral
'NID', 'СКР', 'квазиагент', 'СКР', neutral
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'ВОЗБУЖДАТЬ', '2-компл', 'возбудил', neutral
'S ЕД СРЕД ВИН НЕОД', 'ДЕЛО', '1-компл', 'дело', neutral
'PR', 'ПОСЛЕ', 'атриб', 'после', neutral
'S ЕД ЖЕН РОД НЕОД', 'СМЕРТЬ', 'предл', 'смерти', neutral
'S ЕД МУЖ РОД ОД', 'РАБОЧИЙ', 'квазиагент', 'рабочего', neutral
'PR', 'ПРИ', 'атриб', 'при', neutral
'S ЕД ЖЕН ПР НЕОД', 'СБОРКА', 'предл', 'сборке', neutral
'S ЕД ЖЕН РОД НЕОД', 'СЦЕНА', '1-компл', 'сцены', neutral
'PR', 'НА', 'обст', 'на', neutral
'A ЕД ЖЕН ПР', 'БОЛОТНЫЙ', 'предл', 'Болотной', neutral
'S ЕД МУЖ ИМ ОД', 'БЛОГГЕР', 'предик', 'Блогер', neutral
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'НАЗЫВАТЬ', 'fictit', 'назвал', neutral
'S ЕД МУЖ ВИН НЕОД', 'МИТИНГ', '1-компл', 'митинг', neutral
'PR', 'НА', 'атриб', 'на', neutral
'A ЕД ЖЕН ТВОР', 'БОЛОТНЫЙ', 'опред', 'Болотной', neutral
'A ЕД ЖЕН ТВОР', 'ОРГАНИЗАЦИОННЫЙ', 'опред', 'организационной', neutral
'S ЕД ЖЕН ТВОР НЕОД', 'ИМПОТЕНЦИЯ', 'обст', 'импотенцией', neutral
'A ЕД МУЖ ИМ', 'ВАШ', 'опред', 'Ваш', neutral
'A ЕД МУЖ ИМ', 'ДОСТОЙНЫЙ', 'опред', 'достойный', neutral
'S ЕД МУЖ ИМ ОД', 'ЭКСПЕРТ', 'предик', 'эксперт', neutral
'PR', 'ПРО', 'атриб', 'про', neutral
'S ЕД МУЖ ВИН ОД', 'АЛЕКСАНДР', 'предл', 'Александра', neutral
'S ЕД МУЖ ВИН ОД', 'УЛЬЯНОВ', 'аппоз', 'Ульянова', neutral
'ADV СРАВ', 'ХОРОШО', 'обст', 'лучше', neutral
'PART', 'БЫ', 'аналит', 'бы', neutral
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'РАССКАЗЫВАТЬ', 'вводн', 'рассказал', neutral
'S ЕД ЖЕН ДАТ НЕОД', 'АУДИТОРИЯ', '2-компл', 'аудитории', neutral
'CONJ', 'А', 'сент-соч', 'а', neutral
'ADV', 'ЗАТЕМ', 'обст', 'затем', neutral
'PR', 'ПРО', 'обст', 'про', neutral
'S ЕД ЖЕН ВИН НЕОД', 'РЕВОЛЮЦИЯ', 'предл', 'революцию', neutral
'NUM', '1905', 'опред', '1905', neutral
'S ЕД МУЖ РОД НЕОД', 'ГОД', 'атриб', 'г.', neutral
'S ЕД МУЖ ИМ ОД', 'КТО', 'предик', 'Кто', neutral
'ADV', 'ТАМ', 'обст', 'там', neutral
'PR', 'В', '1-компл', 'в', neutral
'S ЕД МУЖ ПР ОД', 'КТО', 'предл', 'ком', neutral
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'РАЗОЧАРОВЫВАТЬСЯ', '1-компл', 'разочаровался', neutral
'S ЕД МУЖ ИМ НЕОД', 'МИТИНГ', 'предик', 'Митинг', neutral
'PR', 'НА', 'атриб', 'на', neutral
'A ЕД ЖЕН ПР', 'БОЛОТНЫЙ', 'опред', 'Болотной', neutral
'S ЕД ЖЕН ПР НЕОД', 'ПЛОЩАДЬ', 'предл', 'площади', neutral
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'ЗАВЕРШАТЬСЯ', 'соч-союзн', 'завершился', neutral
'PR', 'В', 'обст', 'В', neutral
'S ЕД ЖЕН ПР НЕОД', 'ВЕНЕСУЭЛА', 'предл', 'Венесуэле', neutral
'V СОВ ИЗЪЯВ ПРОШ МН', 'НАЧИНАТЬ', 'вводн', 'начали', neutral
'V НЕСОВ ИНФ', 'ПЕРЕСЧИТЫВАТЬ', '1-компл', 'пересчитывать', neutral
'S МН МУЖ ВИН НЕОД', 'ГОЛОС', '1-компл', 'голоса', neutral
'PR', 'НА', 'атриб', 'на', neutral
'A МН ПР', 'ПРЕЗИДЕНТСКИЙ', 'опред', 'президентских', neutral
'S МН МУЖ ПР НЕОД', 'ВЫБОРЫ', 'предл', 'выборах', neutral
'PR', 'К', '2-компл', 'К', neutral
'S ЕД СРЕД ДАТ НЕОД', 'МЕСТО', 'предл', 'месту', neutral
'S ЕД СРЕД РОД НЕОД', 'КРУШЕНИЕ', 'квазиагент', 'крушения', neutral
'S ЕД МУЖ РОД НЕОД', 'МИ', 'квазиагент', 'Ми', neutral
'NUM', '8', 'аппоз', '8', neutral
'PR', 'В', 'атриб', 'в', neutral
'S ЕД СРЕД ПР НЕОД', 'ПРИАНГАРЬЕ', 'предл', 'Приангарье', neutral
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'ВЫЛЕТАТЬ', '', 'вылетел', neutral
'S ЕД МУЖ ИМ НЕОД', 'БОРТ', 'предик', 'борт', neutral
'S ЕД СРЕД РОД НЕОД', 'МЧС', 'квазиагент', 'МЧС', neutral
'PR', 'ИЗ', 'атриб', 'из', neutral
'S ЕД ЖЕН РОД НЕОД', 'МОСКВА', 'предл', 'Москвы', neutral
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'НАЧИНАТЬСЯ', 'fictit', 'Начался', neutral
'S ЕД МУЖ ИМ НЕОД', 'ОТТОК', 'предик', 'отток', neutral
'S МН МУЖ РОД ОД', 'УЧАСТНИК', 'атриб', 'участников', neutral
'PR', 'С', '1-компл', 'с', neutral
'S ЕД ЖЕН РОД НЕОД', 'АКЦИЯ', 'предл', 'акции', neutral
'S МН ЖЕН ВИН НЕОД', 'ОППОЗИЦИЯ', '1-компл', 'оппозиции', neutral
'PR', 'В', '2-компл', 'в', neutral
'S ЕД ЖЕН ПР НЕОД', 'МОСКВА', 'предл', 'Москве', neutral
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'СООБЩАТЬ', 'вводн', 'сообщает', neutral
'NID', 'ГУМВД', 'квазиагент', 'ГУМВД', neutral
'A МН ИМ', 'КУБАНСКИЙ', 'опред', 'Кубанские', neutral
'S МН МУЖ ИМ ОД', 'КОММУНИСТ', 'предик', 'коммунисты', neutral
'V НЕСОВ ИЗЪЯВ НЕПРОШ МН 3-Л', 'ХОТЕТЬ', 'сент-соч', 'хотят', neutral
'V СОВ ИНФ', 'ЗАСТАВЛЯТЬ', '1-компл', 'заставить', neutral
'S ЕД МУЖ ВИН ОД', 'ЭЛТОН', '1-компл', 'Элтона', neutral
'S ЕД МУЖ ВИН ОД', 'ДЖОН', '1-компл', 'Джона', neutral
'V НЕСОВ ИНФ', 'ПЕТЬ', '2-компл', 'петь', neutral
'PR', 'В', 'обст', 'в', neutral
'S ЕД МУЖ ПР НЕОД', 'ОБРАЗ', 'предл', 'образе', neutral
'S ЕД МУЖ РОД ОД', 'КАЗАК', 'квазиагент', 'казака', neutral
'S ЕД ЖЕН ИМ НЕОД', 'ЗАЩИТА', 'аппоз', 'Защита', neutral
'S ЕД МУЖ РОД ОД', 'ФИГУРАНТ', '1-компл', 'фигуранта', neutral
'A ЕД СРЕД РОД', 'БОЛОТНЫЙ', 'опред', 'болотного', neutral
'S ЕД СРЕД РОД НЕОД', 'ДЕЛО', '1-компл', 'дела', neutral
'NID', 'ГАСКАРОВА', 'квазиагент', 'Гаскарова', neutral
'V НЕСОВ ИЗЪЯВ ПРОШ ЕД ЖЕН', 'ОБЖАЛОВАТЬ', 'сент-соч', 'обжаловала', neutral
'S ЕД СРЕД РОД ОД', 'ОНО', '1-компл', 'его', neutral
'S ЕД МУЖ ВИН НЕОД', 'АРЕСТ', '1-компл', 'арест', neutral
'S', 'В', 'аппоз', 'В', neutral
'S МН РОД НЕОД', 'США', 'атриб', 'США', neutral
'V СОВ ИЗЪЯВ ПРОШ МН', 'ПРЕДОТВРАЩАТЬ', 'fictit', 'предотвратили', neutral
'S ЕД МУЖ ВИН НЕОД', 'ТЕРАКТ', '1-компл', 'теракт', neutral
'S ЕД МУЖ ИМ ОД', 'ПРИНЦ', 'предик', 'Принц', neutral
'S ЕД МУЖ ДАТ ОД', 'ГАРРИ', '2-компл', 'Гарри', neutral
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'СООБЩАТЬ', 'сент-соч', 'сообщил', neutral
'CONJ', 'ЧТО', '1-компл', 'что', neutral
'PR', 'У', '1-компл', 'у', neutral
'S ЕД МУЖ РОД ОД', 'ОН', 'предл', 'него', neutral
'V СОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'РОЖДАТЬСЯ', 'подч-союзн', 'родится', neutral
'S ЕД МУЖ ИМ ОД', 'ПЛЕМЯННИК', 'предик', 'племянник', neutral
'S МН ИМ ОД', 'ВЫ', 'предик', 'Вы', neutral
'ADV СРАВ', 'ХОРОШО', 'обст', 'лучше', neutral
'V СОВ ИЗЪЯВ НЕПРОШ МН 2-Л', 'СМОТРЕТЬ', 'подч-союзн', 'посмотрите', neutral
'PR', 'В', 'обст', 'в', neutral
'S', 'YOUTUBE', '1-компл', 'YouTube', neutral
'S МН МУЖ ВИН НЕОД', 'КОММЕНТАРИЙ', '1-компл', 'комментарии', neutral
'PR', 'НА', 'атриб', 'на', neutral
'S ЕД ЖЕН ВИН НЕОД', 'ПЕСНЯ', 'предл', 'песню', neutral
'S МН СРЕД РОД НЕОД', 'ВДВ', 'квазиагент', 'ВДВ', neutral
'PR', 'О', '1-компл', 'о', neutral
'S ЕД МУЖ ПР ОД', 'ПУТИН', 'предл', 'Путине', neutral
'S МН СРЕД ПР НЕОД', 'ВДВ', 'сочин', 'ВДВ', neutral
'PR', 'ПРОТИВ', 'атриб', 'ПРОТИВ', neutral
'S ЕД МУЖ РОД ОД', 'ПУТИН', 'предл', 'Путина', neutral
'PART', 'И', 'огранич', 'И', neutral
'ADV', 'ТОГДА', 'обст', 'тогда', neutral
'V СОВ ИЗЪЯВ НЕПРОШ МН 2-Л', 'ПОНИМАТЬ', 'сочин', 'поймете', neutral
'PR', 'ЗА', 'обст', 'за', neutral
'S ЕД МУЖ ВИН ОД', 'КТО', 'предл', 'кого', neutral
'CONJ', 'И', 'сочин', 'и', neutral
'PR', 'ПРОТИВ', 'соч-союзн', 'против', neutral
'S ЕД МУЖ РОД ОД', 'КТО', 'предл', 'кого', neutral
'NID', 'ДЕСАНТУРА', 'аппоз', 'десантура', neutral
'PR', 'В', 'обст', 'В', neutral
'S ЕД ЖЕН ПР НЕОД', 'МОСКВА', 'предл', 'Москве', neutral
'V СОВ ИЗЪЯВ ПРОШ МН', 'ОГРАНИЧИВАТЬ', '', 'ограничили', neutral
'S ЕД СРЕД ВИН НЕОД', 'ДВИЖЕНИЕ', '1-компл', 'движение', neutral
'PR', 'ИЗ-ЗА', '1-компл', 'из-за', neutral
'A ЕД ЖЕН РОД', 'ГЕНЕРАЛЬНЫЙ', 'опред', 'генеральной', neutral
'S ЕД ЖЕН РОД НЕОД', 'РЕПЕТИЦИЯ', 'предл', 'репетиции', neutral
'S ЕД МУЖ РОД НЕОД', 'ПАРАД', '1-компл', 'Парада', neutral
'S ЕД ЖЕН РОД НЕОД', 'ПОБЕДА', '1-компл', 'Победы', neutral
'S ЕД МУЖ ИМ ОД', 'МЕДВЕДЕВ', 'предик', 'Медведев', neutral
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'ПЕРЕИМЕНОВЫВАТЬ', 'fictit', 'переименовал', neutral
'S ЕД МУЖ ВИН НЕОД', 'ПОСЕЛОК', '1-компл', 'посёлок', neutral
'PR', 'В', 'атриб', 'в', neutral
'S ЕД МУЖ ПР НЕОД', 'ТАТАРСТАН', 'предл', 'Татарстане', neutral
'PART', 'НУ', 'вводн', 'Ну', neutral
'CONJ', 'И', 'сент-соч', 'и', neutral
'S ЕД МУЖ ИМ ОД', 'КТО', 'предик', 'кто', neutral
'S ЕД МУЖ ИМ ОД', 'ОН', 'релят', 'он', neutral
'ADV', 'ПОСЛЕ', 'обст', 'после', neutral
'A ЕД МУЖ РОД', 'ЭТОТ', 'опред', 'этого', neutral
'S', '@107_0', 'fictit', '@107_0', neutral
'S ЕД МУЖ ИМ ОД', 'ПРЕЗИДЕНТ', 'разъяснит', 'Президент', neutral
'S ЕД МУЖ РОД НЕОД', 'УРУГВАЙ', '1-компл', 'Уругвая', neutral
'V НЕСОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'ЛЕГАЛИЗОВАТЬ', 'разъяснит', 'легализовал', neutral
'PR', 'В', 'обст', 'в', neutral
'S ЕД ЖЕН ПР НЕОД', 'СТРАНА', 'предл', 'стране', neutral
'A МН ВИН НЕОД', 'ОДНОПОЛЫЙ', 'опред', 'однополые', neutral
'S МН МУЖ ВИН НЕОД', 'БРАК', '1-компл', 'браки', neutral
'A ЕД СРЕД ВИН', 'ДОБРЫЙ', 'опред', 'Доброе', neutral
'S ЕД СРЕД ВИН НЕОД', 'УТРО', 'длительн', 'утро', neutral
'PR', 'НА', '4-компл', 'На', neutral
'V НЕСОВ ПРИЧ НЕПРОШ МН РОД', 'ЛЕТАТЬ', 'квазиагент', 'летающих', neutral
'PR', 'МЕЖДУ', 'обст', 'между', neutral
'S ЕД ЖЕН ТВОР НЕОД', 'РОССИЯ', 'предл', 'Россией', neutral
'CONJ', 'И', 'сочин', 'и', neutral
'S ЕД ЖЕН ДАТ НЕОД', 'КНР', '2-компл', 'КНР', neutral
'S МН МУЖ ПР НЕОД', 'САМОЛЕТ', 'предл', 'самолётах', neutral
'V НЕСОВ ИЗЪЯВ НЕПРОШ МН 3-Л', 'МОЧЬ', 'разъяснит', 'могут', neutral
'V НЕСОВ ИНФ', 'ДАВАТЬ', '1-компл', 'давать', neutral
'S МН СРЕД ВИН НЕОД', 'БЛЮДО', '1-компл', 'блюда', neutral
'PR', 'ИЗ', '1-компл', 'из', neutral
'S', 'КРЫСНА', 'предик', 'крысНа', neutral
'S ЕД СРЕД ПР НЕОД', 'МЕСТО', 'соч-союзн', 'месте', neutral
'S ЕД СРЕД РОД НЕОД', 'КРУШЕНИЕ', 'квазиагент', 'крушения', neutral
'S ЕД МУЖ РОД НЕОД', 'МИ', 'квазиагент', 'Ми', neutral
'NUM', '8', 'аппоз', '8', neutral
'PR', 'В', 'обст', 'в', neutral
'S ЕД СРЕД ПР НЕОД', 'ПРИАНГАРЬЕ', 'предл', 'Приангарье', neutral
'V СОВ ИЗЪЯВ ПРОШ МН', 'ВОЗОБНОВЛЯТЬ', 'разъяснит', 'возобновили', neutral
'A ЕД ЖЕН ВИН', 'ПОИСКОВЫЙ', 'опред', 'поисковую', neutral
'S ЕД ЖЕН ВИН НЕОД', 'ОПЕРАЦИЯ', '1-компл', 'операцию', neutral
'PR', 'НА', 'обст', 'На', neutral
'S ЕД СРЕД ПР НЕОД', 'МЕСТО', 'предл', 'месте', neutral
'S ЕД СРЕД РОД НЕОД', 'КРУШЕНИЕ', 'квазиагент', 'крушения', neutral
'S ЕД МУЖ РОД НЕОД', 'МИ', 'квазиагент', 'Ми', neutral
'NUM', '8', 'аппоз', '8', neutral
'PR', 'В', 'атриб', 'в', neutral
'A ЕД ЖЕН ПР', 'ИРКУТСКИЙ', 'опред', 'Иркутской', neutral
'S ЕД ЖЕН ПР НЕОД', 'ОБЛАСТЬ', 'предл', 'области', neutral
'V СОВ ИЗЪЯВ ПРОШ МН', 'НАЧИНАТЬ', '', 'начали', neutral
'V НЕСОВ ИНФ', 'РАБОТАТЬ', '1-компл', 'работать', neutral
'S МН МУЖ ИМ ОД', 'СПАСАТЕЛЬ', 'предик', 'спасатели', neutral
'PR', 'С', 'атриб', 'С', neutral
'S ЕД МУЖ ТВОР НЕОД', 'ПРАЗДНИК', 'обст', 'праздником', neutral
'S МН РОД ОД', 'ВЫ', 'предл', 'вас', neutral
'A ЕД СРЕД ВИН', 'ЛУЧШИЙ', 'опред', 'Лучшее', neutral
'S ЕД СРЕД ВИН НЕОД', 'РАДИО', '1-компл', 'радио', neutral
'S ЕД МУЖ ИМ ОД', 'МЕДВЕДЕВ', 'предик', 'Медведев', neutral
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'ПЕРЕИМЕНОВЫВАТЬ', 'fictit', 'переименовал', neutral
'S ЕД МУЖ ВИН НЕОД', 'ПОСЕЛОК', '1-компл', 'посёлок', neutral
'PR', 'В', 'атриб', 'в', neutral
'S ЕД МУЖ ПР НЕОД', 'ТАТАРСТАН', 'предл', 'Татарстане', neutral
'A ЕД ЖЕН ИМ', 'СЕВЕРНЫЙ', 'опред', 'Северная', neutral
'S ЕД ЖЕН ИМ НЕОД', 'КОРЕЯ', 'предик', 'Корея', neutral
'V СОВ ИЗЪЯВ ПРОШ ЕД ЖЕН', 'СНИМАТЬ', 'fictit', 'сняла', neutral
'PR', 'С', '2-компл', 'с', neutral
'A МН РОД', 'ВОСТОЧНЫЙ', 'опред', 'восточных', neutral
'A МН РОД', 'СТАРТОВЫЙ', 'опред', 'стартовых', neutral
'S МН ЖЕН РОД НЕОД', 'ПОЗИЦИЯ', 'предл', 'позиций', neutral
'A МН ВИН НЕОД', 'БАЛЛИСТИЧЕСКИЙ', 'опред', 'баллистические', neutral
'S МН ЖЕН ВИН НЕОД', 'РАКЕТА', '1-компл', 'ракеты', neutral
'S ЕД ЖЕН ИМ НЕОД', 'ЭСТОНИЯ', 'предик', 'Эстония', neutral
'V СОВ ИЗЪЯВ ПРОШ ЕД ЖЕН', 'ЗАПУСКАТЬ', 'fictit', 'запустила', neutral
'PR', 'В', '3-компл', 'в', neutral
'S ЕД МУЖ ВИН НЕОД', 'КОСМОС', 'предл', 'космос', neutral
'A ЕД МУЖ ВИН НЕОД', 'СВОЙ', 'опред', 'свой', neutral
